,precision,recall,f1-score,support
cane,0.9625779625779626,0.9778247096092925,0.9701414353064431,947.0
cavallo,0.947069943289225,0.9597701149425287,0.9533777354900095,522.0
elefante,0.9738805970149254,0.9560439560439561,0.9648798521256932,273.0
farfalla,0.9630484988452656,0.972027972027972,0.9675174013921114,429.0
gallina,0.9780775716694773,0.9780775716694773,0.9780775716694773,593.0
gatto,0.984375,0.9516616314199395,0.967741935483871,331.0
mucca,0.9271356783919598,0.924812030075188,0.9259723964868256,399.0
pecora,0.9466666666666667,0.9293193717277487,0.9379128137384413,382.0
ragno,0.9887179487179487,0.9846782431052093,0.9866939611054247,979.0
scoiattolo,0.9633507853403142,0.968421052631579,0.9658792650918635,380.0
accuracy,0.9658070678127985,0.9658070678127985,0.9658070678127985,0.9658070678127985
macro avg,0.9634900652513745,0.9602636653252891,0.9618194367890162,5235.0
weighted avg,0.9658756728781756,0.9658070678127985,0.9657956164922875,5235.0
