,precision,recall,f1-score,support
cane,0.9675052410901468,0.9746568109820486,0.9710678590215676,947.0
cavallo,0.9596928982725528,0.9578544061302682,0.9587727708533078,522.0
elefante,0.9816176470588235,0.978021978021978,0.9798165137614679,273.0
farfalla,0.9672897196261683,0.965034965034965,0.9661610268378062,429.0
gallina,0.9846678023850085,0.9747048903878583,0.9796610169491525,593.0
gatto,0.9694189602446484,0.9577039274924471,0.9635258358662614,331.0
mucca,0.9225,0.924812030075188,0.9236545682102628,399.0
pecora,0.941952506596306,0.9345549738219895,0.938239159001314,382.0
ragno,0.9787234042553191,0.9867211440245148,0.982706002034588,979.0
scoiattolo,0.968421052631579,0.968421052631579,0.968421052631579,380.0
accuracy,0.9663801337153772,0.9663801337153772,0.9663801337153772,0.9663801337153772
macro avg,0.9641789232160551,0.9622486178602836,0.9632025805167308,5235.0
weighted avg,0.9663792390674998,0.9663801337153772,0.9663675988191003,5235.0
