,precision,recall,f1-score,support
cane,0.9577754891864058,0.9820485744456178,0.9697601668404588,947.0
cavallo,0.9666011787819253,0.9425287356321839,0.9544131910766246,522.0
elefante,0.9711191335740073,0.9853479853479854,0.9781818181818182,273.0
farfalla,0.9699769053117783,0.9790209790209791,0.974477958236659,429.0
gallina,0.9796954314720813,0.9763912310286678,0.9780405405405406,593.0
gatto,0.9753846153846154,0.9577039274924471,0.9664634146341463,331.0
mucca,0.9193154034229829,0.9423558897243107,0.9306930693069307,399.0
pecora,0.9641873278236914,0.9162303664921466,0.9395973154362416,382.0
ragno,0.9846782431052093,0.9846782431052093,0.9846782431052093,979.0
scoiattolo,0.9603174603174603,0.9552631578947368,0.9577836411609498,380.0
accuracy,0.9665711556829035,0.9665711556829035,0.9665711556829035,0.9665711556829035
macro avg,0.9649051188380158,0.9621569090184284,0.9634089358519577,5235.0
weighted avg,0.9666998200761139,0.9665711556829035,0.966527061654783,5235.0
