,precision,recall,f1-score,support
cane,0.9605809128630706,0.9778247096092925,0.9691261119832548,947.0
cavallo,0.9509433962264151,0.9655172413793104,0.9581749049429658,522.0
elefante,0.978021978021978,0.978021978021978,0.978021978021978,273.0
farfalla,0.9632183908045977,0.9766899766899767,0.9699074074074074,429.0
gallina,0.9796264855687606,0.9730185497470489,0.9763113367174281,593.0
gatto,0.9904458598726115,0.9395770392749244,0.9643410852713178,331.0
mucca,0.9346733668341709,0.9323308270676691,0.9335006273525721,399.0
pecora,0.9491978609625669,0.9293193717277487,0.9391534391534392,382.0
ragno,0.9886831275720165,0.9816138917262512,0.9851358277806254,979.0
scoiattolo,0.9585492227979274,0.9736842105263158,0.9660574412532638,380.0
accuracy,0.9669531996179561,0.9669531996179561,0.9669531996179561,0.9669531996179561
macro avg,0.9653940601524115,0.9627597795770514,0.9639730159884253,5235.0
weighted avg,0.9670940010195892,0.9669531996179561,0.9669422531515096,5235.0
